Method,Path,Summary,Description,OperationId,Tags
GET,/api/users/info,회원 정보 조회,회원 정보를 조회합니다.,getUser,user-api-controller
PUT,/api/users/info,회원 정보 수정,회원 정보를 수정합니다.,updateUser,user-api-controller
PUT,/api/userInfos,프로필 수정,"아래와 같은 형식으로 multipart/form-data 요청을 전송해 주세요.  • image: 프로필 이미지 파일 (예: PNG, JPG 등 이미지 파일만 업로드 가능하게 해주세요.)   - 3MB 이하의 파일만 업로드 가능합니다.  • imageChanged: 이미지 변경 여부 (true/false)   - true: 이미지가 업로드되거나 삭제됩니다.   - false: 서버는 이미지 변경을 무시합니다.  • introduction: 사용자 한 줄 소개 텍스트",updateProfile,user-info-api-controller
GET,/api/preferences,사용자 취향 조회,사용자 취향을 조회합니다.,getContentPreference,preference-api-controller
PUT,/api/preferences,사용자 취향 수정,선택한 취향으로 수정합니다.,updateContentPreference,preference-api-controller
POST,/api/preferences,사용자 취향 등록,선택한 취향을 등록합니다. 첫 등록 시에만 사용 가능합니다.,createContentPreference,preference-api-controller
GET,/api/notifications/{id},수정 예정,,getNotification,notification-api-controller
PUT,/api/notifications/{id},수정 예정,,updateNotification,notification-api-controller
DELETE,/api/notifications/{id},수정 예정,,deleteNotification,notification-api-controller
GET,/api/notices/{id},수정 예정,,getNotice,notice-api-controller
PUT,/api/notices/{id},수정 예정,,updateNotice,notice-api-controller
DELETE,/api/notices/{id},수정 예정,,deleteNotice,notice-api-controller
GET,/api/groups/{groupId},모임 상세 조회,모임을 상세 조회합니다.,getGroup,group-api-controller
PUT,/api/groups/{groupId},모임 수정,모임을 수정합니다.,updateGroup,group-api-controller
DELETE,/api/groups/{groupId},모임 삭제,모임을 삭제합니다.,deleteGroup,group-api-controller
GET,/api/groupHashtags/{id},수정 예정,,getGroupHashtag,group-hashtag-api-controller
PUT,/api/groupHashtags/{id},수정 예정,,updateGroupHashtag,group-hashtag-api-controller
DELETE,/api/groupHashtags/{id},수정 예정,,deleteGroupHashtag,group-hashtag-api-controller
GET,/api/contacts/{contactId},문의 상세 조회,문의를 상세 조회합니다.,getContact,contact-api-controller
PUT,/api/contacts/{contactId},문의 수정,"답변 완료 상태가 아닌 문의를 수정합니다.  아래와 같은 형식으로 multipart/form-data 요청을 전송해 주세요.  • title: 문의 제목  • content: 문의 내용  • category: 문의 카테고리 (필수, ENUM 값 중 하나 선택)   - 예: GENERAL, REPORT  • images: 문의 관련 이미지 파일들 (선택)   - 최대 5개까지 업로드 가능   - 각 파일은 3MB 이하의 파일만 업로드 가능합니다.   - 같은 키(images)로 여러 개 업로드해야 합니다.  • imagesChanged: 이미지 변경 여부 (true/false)   - true: 이미지가 업로드되거나 삭제됩니다.   - false: 서버는 이미지 변경을 무시합니다.",updateContact,contact-api-controller
PATCH,/api/contacts/{contactId},문의 삭제,문의를 삭제(비활성화)합니다.,deleteContact,contact-api-controller
POST,/api/users/verify/signup,회원가입 이메일 인증,회원가입 이메일 인증을 진행합니다. 자동으로 로그인됩니다.,verifySignup,user-api-controller
POST,/api/users/verify/nickname,닉네임 중복 검사,중복된 닉네임인지 검증합니다.,verifyNickname,user-api-controller
POST,/api/users/verify/code,인증 코드 검증,올바른 인증 코드인지 검증합니다.,verifyCode,user-api-controller
POST,/api/users/signup,회원가입,회원가입을 진행 후 인증 메일을 발송합니다.,createUser,user-api-controller
POST,/api/users/send/signup/{email},회원가입 인증 메일 재발송,"회원가입 인증 메일을 재발송합니다. 쿨타임은 3분이며, 링크는 5분간 유효합니다.",resendVerificationSignupMail,user-api-controller
POST,/api/users/send/code,인증 코드 메일 발송,"인증 코드 메일을 발송합니다. 쿨타임은 3분이며, 인증 코드는 5분간 유효합니다. 인증 키는 10분간 유효합니다.",sendCode,user-api-controller
POST,/api/reports,신고하기,부적절한 모임 게시글이나 채팅을 신고합니다.,createReport,report-api-controller
POST,/api/participants/{groupId}/reject,모임 참여 거절,userEmails 로 여러 대상의 사용자를 받아서 승인 거절,rejectParticipant,participant-api-controller
POST,/api/participants/{groupId}/leave,모임 나가기,모임에서 나가기,leaveParticipant,participant-api-controller
POST,/api/participants/{groupId}/kickout,모임 참여자 강퇴,모임 참여자를 강제퇴장,kickoutParticipant,participant-api-controller
GET,/api/participants/{groupId}/approve,모임 승인 사용자 조회,특정 GROUP 의 TRUE/APPROVE 상태의 사용자 조회,approveParticipant,participant-api-controller
POST,/api/participants/{groupId}/approve,모임 참여 승인,userEmails 로 여러 대상의 사용자를 받아서 승인 처리,approveParticipant_1,participant-api-controller
POST,/api/participants/{groupId}/apply,모임 신청,그룹 ID 와 사용자 Email 을 통해 모임 신청.,applyGroup,participant-api-controller
GET,/api/notifications,수정 예정,,getAllNotifications,notification-api-controller
POST,/api/notifications,수정 예정,,createNotification,notification-api-controller
GET,/api/notices,수정 예정,,getAllNotices,notice-api-controller
POST,/api/notices,수정 예정,,createNotice,notice-api-controller
POST,/api/groups/{groupId}/complete,모임 완료,모임을 완료 처리합니다.,completeGroup,group-api-controller
POST,/api/groups/{groupId}/cancel,모임 취소,모임을 취소합니다.,cancelGroup,group-api-controller
POST,/api/groups/create,모임 생성,모임을 생성합니다.,createGroup,group-api-controller
GET,/api/groupHashtags,수정 예정,,getAllGroupHashtags,group-hashtag-api-controller
POST,/api/groupHashtags,수정 예정,,createGroupHashtag,group-hashtag-api-controller
POST,/api/groupHashtags/save,자동 완성을 위한 단어 저장,자동 완성을 위한 단어 저장합니다.(모임 해시태그),saveWord,group-hashtag-api-controller
POST,/api/groupBookmarks/{groupId},즐겨찾기 추가(모임),선택한 모임을 즐겨찾기에 추가합니다.,groupBookmarkAdd,group-bookmark-api-controller
DELETE,/api/groupBookmarks/{groupId},즐겨찾기 삭제(모임),선택한 모임을 즐겨찾기에서 삭제합니다.,groupBookmarkDelete,group-bookmark-api-controller
POST,/api/follows/{targetEmail},팔로우,원하는 사용자를 팔로우 합니다.,follow,follow-api-controller
DELETE,/api/follows/{targetEmail},언팔로우,팔로우를 취소합니다.,unfollow,follow-api-controller
POST,/api/content-data/update,전체 콘텐츠 좌표 업데이트,Kakao 주소 검색 API를 활용하여 DB의 모든 콘텐츠 좌표 정보를 갱신합니다.,updateAllCoordinates,content-data-pipeline
POST,/api/content-data/keyword-coordinates,키워드 → 위경도 조회,카카오 키워드 검색 API를 이용해 키워드로 위도/경도를 조회합니다.,testKeywordToCoordinates,content-data-pipeline
POST,/api/content-data/coordinates-address,위경도 → 주소 조회,카카오 좌표→주소 API를 이용해 위도/경도로 주소를 조회합니다.,testCoordinesToAddress,content-data-pipeline
GET,/api/contacts,문의 목록 조회,"사용자의 문의 목록을 조회합니다.  • status: 상태 필터를 지정할 수 있습니다.      - all(모두), pending(답변 대기), complete(답변 완료)  • page: 0 ~ N, 보고 싶은 페이지를 지정할 수 있습니다.      - 기본값: 0  • size: 기본 페이지당 항목 수      - 기본값 : 10  • sort: 정렬      - 정렬 가능한 필드:                 - `createdAt` (문의 작성한 시간)      - 정렬 방식 예시:                 - `?sort=createdAt,desc` (기본값, 최신순)                 - `?sort=createdAt,asc` (오래된순)",getAllContacts,contact-api-controller
POST,/api/contacts,문의 작성,"아래와 같은 형식으로 multipart/form-data 요청을 전송해 주세요.  • title: 문의 제목  • content: 문의 내용  • category: 문의 카테고리 (필수, ENUM 값 중 하나 선택)   - 예: GENERAL, REPORT  • images: 문의 관련 이미지 파일들 (선택)   - 최대 5개까지 업로드 가능   - 각 파일은 3MB 이하의 파일만 업로드 가능합니다.   - 같은 키(images)로 여러 개 업로드해야 합니다.  • imagesChanged: 이미지 변경 여부 (true/false)   - true: 이미지가 업로드되거나 삭제됩니다.   - false: 서버는 이미지 변경을 무시합니다.",createContact,contact-api-controller
POST,/api/chatRooms/personalRooms,개인 채팅방 생성,사용자간 1:1 채팅방을 생성합니다.,createPersonalChatRoom,chat-room-api-controller
POST,/api/chatBots/group,AI 빠른 추천 기능 (모임),,quickRecommendGroup,chat-bot-api-controller
POST,/api/chatBots/content,AI 빠른 추천 기능 (컨텐츠),,quickRecommendContent,chat-bot-api-controller
POST,/api/chatBots/chat,수정 예정,,chat,chat-bot-api-controller
POST,/api/calendars,캘린더 일정 등록,선택한 컨텐츠 일정을 캘린더에 등록합니다.,addCalendar,calendar-api-controller
POST,/api/auth/login,로그인,로그인 성공 시 AccessToken 쿠키와 RefreshToken 쿠키를 발급합니다.,login,auth-api-controller
PATCH,/api/users,회원 탈퇴,회원을 탈퇴(비활성화) 합니다. 자동으로 로그아웃됩니다.,unActiveUser,user-api-controller
PATCH,/api/users/oauth2/signup,OAuth2 회원가입,소셜 로그인 대상의 추가 정보를 입력 받습니다. 액세스 토큰을 재발급합니다.,updateOAuth2User,user-api-controller
PATCH,/api/users/change/password,비밀번호 변경,인증 코드로 인증된 사용자에 한해서 비밀번호 변경을 진행합니다.,changePassword,user-api-controller
PATCH,/api/users/change/nickname,닉네임 변경,닉네임 변경을 합니다. 액세스 토큰을 재발급합니다.,changeNickname,user-api-controller
DELETE,/api/calendars/{calendarId},캘린더 일정 삭제,선택한 컨텐츠 일정을 캘린더에서 삭제합니다.,deleteCalendar,calendar-api-controller
PATCH,/api/calendars/{calendarId},캘린더 일정 수정,선택한 컨텐츠 일정을 수정합니다.,updateCalendar,calendar-api-controller
PATCH,/api/admin/users/{email}/suspend,수정 예정,,suspendUser,admin-user-api-controller
PATCH,/api/admin/reports/{id},신고 처리,신고에 대한 유저 제재 or 답변 등록 처리,processReport,admin-report-api-controller
GET,/api/users/coordinate,좌표 조회,"위도, 경도 값을 조회합니다.",getCoordinate,user-api-controller
GET,/api/userInfos/{email},유저 상세 조회,유저의 상세 정보를 이메일로 조회합니다.   응답 필드 설명:  - email: 이메일  - nickname: 닉네임  - introduction: 한 줄 소개  - imageUrl: 프로필 이미지 URL  - contentPreferences: 컨텐츠 취향  - groupPreferences: 모임 취향  - followerCount: 팔로워 수  - followingCount: 팔로잉 수,getUserDetail,user-info-api-controller
GET,/api/participants/{groupId}/pending,모임 신청 사용자 조회,특정 GROUP 의 TRUE/PENDING 상태의 사용자 조회,pendingParticipant,participant-api-controller
GET,/api/participants/stats/group-completed,모임 완료 통계,유저가 완료한 모임을 카테고리별로 카운트합니다. (즐겨 찾는 여가 생활),getCompletedStats,participant-api-controller
GET,/api/groups/search,모임 검색 및 조회,"아래와 형식으로 입력해주세요.  • category(null 허용) - ART, TRAVEL, FOOD,GAME,CULTURE,SPORT,STUDY,MOVIE  • keyword(null 허용) - 검색을 원하는 키워드  • sortBy - recent(최신순) , viewCount(조회수) , distance(거리순) - 처음 접속했을 때 모든 기준 초기값 : 거리순  ex) ART / 모임 / recent 아무것도 넣지 않고, 검색하면 거리순",searchGroups,group-api-controller
GET,/api/groups/getMy,내가 속한 모임 조회,내가 속한 모임을 조회합니다.,getMyGroups,group-api-controller
GET,/api/groups/getLeaderMy,내가 리더 역할인 모임 조회,내가 리더 역할인 모임을 조회합니다.,getLeaderMyGroups,group-api-controller
GET,/api/groupHashtags/complete,자동 완성을 위한 단어 불러오기,자동 완성을 위한 단어를 redis 에서 불러옵니다.(모임 해시태그),completeWord,group-hashtag-api-controller
GET,/api/groupBookmarks/getBookMarks,내 즐겨찾기 조회,내가 즐겨찾기한 모임 내용을 조회합니다.,getBookMarks,group-bookmark-api-controller
GET,/api/follows/status/following,팔로잉 여부 확인,특정 사용자에 대한 자신의 팔로잉 여부를 확인합니다.,isFollowing,follow-api-controller
GET,/api/follows/status/follower,팔로워 여부 확인,특정 사용자가 자신을 팔로우 했는지를 확인합니다.(팔로워 여부),isFollower,follow-api-controller
GET,/api/follows/followings,팔로잉 조회,"팔로잉 목록을 조회합니다.  기본 정렬은 닉네임 오름차순입니다.  • page: 0 ~ N, 보고 싶은 페이지를 지정할 수 있습니다.      - 기본값: 0  • size: 기본 페이지당 항목 수      - 기본값 : 10  • sort: 정렬      - 정렬 가능한 필드:                 - `nickname` (닉네임)                 - `createdAt` (팔로우한 시간)      - 정렬 방식 예시:                 - `?sort=createdAt,desc` (최신순)                 - `?sort=createdAt,asc` (오래된순)                 - `?sort=nickname,asc` (기본값, 닉네임 오름차순)",getFollowings,follow-api-controller
GET,/api/follows/followers,팔로워 조회,"팔로워 목록을 조회합니다.  기본 정렬은 닉네임 오름차순입니다.  • page: 0 ~ N, 보고 싶은 페이지를 지정할 수 있습니다.      - 기본값: 0  • size: 기본 페이지당 항목 수      - 기본값 : 10  • sort: 정렬      - 정렬 가능한 필드:                 - `nickname` (닉네임)                 - `createdAt` (팔로우한 시간)      - 정렬 방식 예시:                 - `?sort=createdAt,desc` (최신순)                 - `?sort=createdAt,asc` (오래된순)                 - `?sort=nickname,asc` (기본값, 닉네임 오름차순)",getFollowers,follow-api-controller
GET,/api/follows/count/followings,팔로잉 수 조회,팔로잉 수를 조회합니다.,countFollowings,follow-api-controller
GET,/api/follows/count/followers,팔로워 수 조회,팔로워 수를 조회합니다.,countFollowers,follow-api-controller
GET,/api/contents,컨텐츠 목록 조회,,getAllContents,content-api-controller
GET,/api/contents/{id},컨텐츠 상세 조회,,getContent,content-api-controller
GET,/api/content-data/full-process,전체 프로세스 테스트,키워드 → 위경도 → 주소로 이어지는 전체 흐름을 테스트합니다.,testFullProcess,content-data-pipeline
GET,/api/chats/{roomId}/{type}/history,채팅 기록 조회,팀의 이전 채팅 내용을 조회합니다.,getChatHistory,chat-api-controller
GET,/api/chatRooms/rooms/my,개인 채팅방 조회,로그인 한 사용자의 개인 채팅방을 조회합니다.,getMyPersonalChatRooms,chat-room-api-controller
GET,/api/calendars/monthly,월별 일정 조회,선택한 년도와 월에 해당하는 모든 일정을 조회합니다.,getMonthlyCalendar,calendar-api-controller
GET,/api/calendars/daily,일별 일정 조회,선택한 날짜로 일정을 조회합니다.,getDailyCalendar,calendar-api-controller
GET,/api/calendars/daily/content,컨텐츠 일별 일정 조회,선택한 날짜로 컨텐츠 일정만 조회합니다.,getDailyCalendarForContent,calendar-api-controller
GET,/api/calendars/content,일정 등록한 컨텐츠 목록 조회,"캘린더에 일정 등록한 컨텐츠 목록을 조회합니다.  기본 정렬은 등록한 일정 날짜 (selectedDate) 최신순입니다.  • pastIncluded: 지나간 일정 포함 여부 (기본값 true)      - false 면 오늘 00시 이후 일정만 조회됩니다.  • page: 0 ~ N, 보고 싶은 페이지를 지정할 수 있습니다.      - 기본값: 0  • size: 기본 페이지당 항목 수      - 기본값 : 10  • sort: 정렬      - 정렬 가능한 필드:                 - `selectedDate` (등록한 일정 날짜)      - 정렬 방식 예시:                 - `?sort=selectedDate,desc` (기본값, 최신순)                 - `?sort=selectedDate,asc` (오래된순)",getCalendarForContent,calendar-api-controller
GET,/api/admin/users,수정 예정,,getAllUsers,admin-user-api-controller
GET,/api/admin/users/{email},수정 예정,,getUser_1,admin-user-api-controller
GET,/api/admin/users/nickname/{nickname},수정 예정,,getIUserByNickname,admin-user-api-controller
GET,/api/admin/reports,관리자 신고 목록 조회,"status param으로 전체 / 처리완료 / 미처리 필터 가능 (all, resolved, unresolved)",getAllReports,admin-report-api-controller
